reference_state,rule_id,state_support,rule_support,overlap,coverage,precision,effectiveness
Idle,0,192844,95015,0,0.0,0.0,0.0
Idle,1,192844,990532,113945,0.5908661923627387,0.11503414326846584,0.26071015750205856
Idle,2,192844,113720,78899,0.4091338076372612,0.6938005627857896,0.5327825691531441
Idle,3,192844,284530,0,0.0,0.0,0.0
Idle,4,192844,284905,0,0.0,0.0,0.0
Idle,5,192844,60975,0,0.0,0.0,0.0
Fill,0,190793,95015,94660,0.4961397954851593,0.9962637478292901,0.7030548286565581
Fill,1,190793,990532,0,0.0,0.0,0.0
Fill,2,190793,113720,34821,0.18250669573831324,0.30619943721421033,0.2363968009997103
Fill,3,190793,284530,0,0.0,0.0,0.0
Fill,4,190793,284905,337,0.0017663121812645118,0.0011828504238254856,0.0014454352673907074
Fill,5,190793,60975,60975,0.3195871965952629,1.0,0.5653204370932143
HeatUp,0,366099,95015,355,0.0009696830638707016,0.003736252170709888,0.0019034128433651812
HeatUp,1,366099,990532,81176,0.22173237293737486,0.08195192078600187,0.13480131254055344
HeatUp,2,366099,113720,0,0.0,0.0,0.0
HeatUp,3,366099,284530,0,0.0,0.0,0.0
HeatUp,4,366099,284905,284568,0.7772979439987544,0.9988171495761745,0.8811234401582203
HeatUp,5,366099,60975,0,0.0,0.0,0.0
Hold,0,523221,95015,0,0.0,0.0,0.0
Hold,1,523221,990532,523221,1.0,0.5282222078640569,0.7267889706538322
Hold,2,523221,113720,0,0.0,0.0,0.0
Hold,3,523221,284530,0,0.0,0.0,0.0
Hold,4,523221,284905,0,0.0,0.0,0.0
Hold,5,523221,60975,0,0.0,0.0,0.0
Cool,0,365389,95015,0,0.0,0.0,0.0
Cool,1,365389,990532,81193,0.22220975453557715,0.08196908328049977,0.13496047523355176
Cool,2,365389,113720,0,0.0,0.0,0.0
Cool,3,365389,284530,284196,0.7777902454644229,0.9988261343267846,0.8814063899214201
Cool,4,365389,284905,0,0.0,0.0,0.0
Cool,5,365389,60975,0,0.0,0.0,0.0
Discharge,0,191331,95015,0,0.0,0.0,0.0
Discharge,1,191331,990532,190997,0.9982543341120885,0.19282264480097563,0.4387323111961663
Discharge,2,191331,113720,0,0.0,0.0,0.0
Discharge,3,191331,284530,334,0.001745665887911525,0.0011738656732154782,0.001431494765174696
Discharge,4,191331,284905,0,0.0,0.0,0.0
Discharge,5,191331,60975,0,0.0,0.0,0.0
